UnitID;SerialNumber;IMEI;SimNo;Carrier;AreaCode;PhoneNumber;StaticIP;ModemName;Paired
1HIK;869487060208856;869487060208856;895110113909780438;CLARO-PE;51;993882647;;3G;False
1HJ0;869487060207148;869487060207148;895110113909780437;CLARO-PE;51;993882563;;3G;False
1HJG;869487060208641;869487060208641;895110113909780436;CLARO-PE;51;993884229;;3G;False
1HYD;869487060162707;869487060162707;895110113909780435;CLARO-PE;51;993879187;;3G;False
1HYT;869487060179693;869487060179693;895110113909780434;CLARO-PE;51;993880927;;3G;False
1HZ9;869487060188645;869487060188645;895110113909780433;CLARO-PE;51;993880839;;3G;False
1HZP;869487060214730;869487060214730;895110113909780432;CLARO-PE;51;993883348;;3G;False
1I09;869487060233953;869487060233953;895110113909780431;CLARO-PE;51;993877298;;3G;False
1I0P;869487060187712;869487060187712;895110113909780430;CLARO-PE;51;993880777;;3G;False
1AE7;869487060180931;869487060180931;895110113909780429;CLARO-PE;51;993836569;;3G;False
1AEN;869487060221032;869487060221032;895110113909780428;CLARO-PE;51;993891712;;3G;False
1AF3;869487060162715;869487060162715;895110113909780427;CLARO-PE;51;993878098;;3G;False
1AFJ;869487060233557;869487060233557;895110113909780426;CLARO-PE;51;993878050;;3G;False
1AFZ;869487060182721;869487060182721;895110113909780425;CLARO-PE;51;993879890;;3G;False
1AGF;869487060183190;869487060183190;895110113909780424;CLARO-PE;51;993878919;;3G;False
1AGV;869487060162467;869487060162467;895110113909780423;CLARO-PE;51;993888821;;3G;False
1HGR;869487060222915;869487060222915;895110113909780422;CLARO-PE;51;993890684;;3G;False
1HH7;869487060162475;869487060162475;895110113909780421;CLARO-PE;51;993889664;;3G;False
1HHN;869487060216131;869487060216131;895110113909780420;CLARO-PE;51;993877827;;3G;False
1HHY;869487060183356;869487060183356;895110113909780419;CLARO-PE;51;993878672;;3G;False
1HIE;869487060213393;869487060213393;895110113909780418;CLARO-PE;51;993833693;;3G;False
1HIU;869487060179727;869487060179727;895110113909780417;CLARO-PE;51;993889617;;3G;False
1HJA;869487060183679;869487060183679;895110113909780416;CLARO-PE;51;993891274;;3G;False
1HYN;869487060168530;869487060168530;895110113909780415;CLARO-PE;51;993877714;;3G;False
1HZ3;869487060228151;869487060228151;895110113909780414;CLARO-PE;51;993892121;;3G;False
1HZJ;869487060213252;869487060213252;895110113909780413;CLARO-PE;51;993891160;;3G;False
1HZZ;869487060158572;869487060158572;895110113909780412;CLARO-PE;51;993886692;;3G;False
1I0J;869487060183091;869487060183091;895110113909780411;CLARO-PE;51;993889383;;3G;False
1I0Z;869487060203931;869487060203931;895110113909780410;CLARO-PE;51;993891056;;3G;False
1AE9;869487060173357;869487060173357;895110113909780354;CLARO-PE;51;992347288;;3G;False
1AEP;869487060177556;869487060177556;895110113909780355;CLARO-PE;51;992338149;;3G;False
1AF5;869487060203618;869487060203618;895110113909780356;CLARO-PE;51;992348116;;3G;False
1AFL;869487060208195;869487060208195;895110113909780357;CLARO-PE;51;992333902;;3G;False
1AG1;869487060206272;869487060206272;895110113909780358;CLARO-PE;51;992330134;;3G;False
1AGH;869487060156592;869487060156592;895110113909780359;CLARO-PE;51;992335498;;3G;False
1AGX;869487060210753;869487060210753;895110113909780360;CLARO-PE;51;992334110;;3G;False
1HGT;869487060208922;869487060208922;895110113909780361;CLARO-PE;51;992334981;;3G;False
1HH9;869487060201083;869487060201083;895110113909780362;CLARO-PE;51;992337436;;3G;False
1HHP;869487060177523;869487060177523;895110113909780363;CLARO-PE;51;992335631;;3G;False
1HI0;869487060228680;869487060228680;895110113909780364;CLARO-PE;51;992336394;;3G;False
1HIG;869487060209219;869487060209219;895110113909780365;CLARO-PE;51;992335701;;3G;False
1HIW;869487060158432;869487060158432;895110113909780366;CLARO-PE;51;992340700;;3G;False
1HJC;869487060176178;869487060176178;895110113909780367;CLARO-PE;51;992339960;;3G;False
1HYP;869487060175675;869487060175675;895110113909780368;CLARO-PE;51;992337904;;3G;False
1HZ5;869487060209581;869487060209581;895110113909780369;CLARO-PE;51;979741330;;3G;False
1HZL;869487060201026;869487060201026;895110113909780370;CLARO-PE;51;949342478;;3G;False
1I01;869487060158838;869487060158838;895110113909780371;CLARO-PE;51;993207569;;3G;False
1I05;869487060173738;869487060173738;895110113909780372;CLARO-PE;51;993142462;;3G;False
1I0L;869487060160891;869487060160891;895110113909780373;CLARO-PE;51;993143407;;3G;False
1I11;869487060176749;869487060176749;895110113909780374;CLARO-PE;51;993208527;;3G;False
1AEL;869487060187993;869487060187993;895110113909780375;CLARO-PE;51;993143426;;3G;False
1AF1;869487060189007;869487060189007;895110113909780376;CLARO-PE;51;993141843;;3G;False
1AFH;869487060202073;869487060202073;895110113909780396;CLARO-PE;51;993127839;;3G;False
1AFX;869487060171898;869487060171898;895110113909780395;CLARO-PE;51;993108057;;3G;False
1AGD;869487060203444;869487060203444;895110113909780394;CLARO-PE;51;993200328;;3G;False
1AGT;869487060222543;869487060222543;895110113909780393;CLARO-PE;51;993199348;;3G;False
1HH5;869487060177069;869487060177069;895110113909780392;CLARO-PE;51;993204954;;3G;False
1HHL;869487060227617;869487060227617;895110113909780391;CLARO-PE;51;993204947;;3G;False
1HHW;869487060175915;869487060175915;895110113909780390;CLARO-PE;51;993203127;;3G;False
1HIC;869487060225777;869487060225777;895110113909780389;CLARO-PE;51;993205764;;3G;False
1HIS;869487060175840;869487060175840;895110113909780388;CLARO-PE;51;993125790;;3G;False
1HJ8;869487060206843;869487060206843;895110113909780387;CLARO-PE;51;993125305;;3G;False
1HYL;869487060174108;869487060174108;895110113909780386;CLARO-PE;51;993195979;;3G;False
1HZ1;869487060201034;869487060201034;895110113909780385;CLARO-PE;51;993202361;;3G;False
1HZH;869487060172094;869487060172094;895110113909780384;CLARO-PE;51;993198067;;3G;False
1HZX;869487060214698;869487060214698;895110113909780383;CLARO-PE;51;993200553;;3G;False
1I0H;869487060173944;869487060173944;895110113909780382;CLARO-PE;51;993198782;;3G;False
1I0X;869487060174587;869487060174587;895110113909780381;CLARO-PE;51;993146445;;3G;False
1AEH;869487060208492;869487060208492;895110113909780380;CLARO-PE;51;993211429;;3G;False
1AEX;869487060181939;869487060181939;895110113909780379;CLARO-PE;51;993211418;;3G;False
1AFD;869487060208161;869487060208161;895110113909780378;CLARO-PE;51;993143684;;3G;False
1AFT;869487060223186;869487060223186;895110113909780377;CLARO-PE;51;993211194;;3G;False
1AG9;869487060163127;869487060163127;895110113909780350;CLARO-PE;51;992331011;;3G;False
1AGP;869487060219580;869487060219580;895110113909780351;CLARO-PE;51;992331785;;3G;False
1HH1;869487060183166;869487060183166;895110113909780352;CLARO-PE;51;992331791;;3G;False
1HHH;869487060174827;869487060174827;895110113909780353;CLARO-PE;51;992335107;;3G;False
1HI8;869487060207379;869487060207379;895110113909780349;CLARO-PE;51;992335769;;3G;False
1HIO;869487060175360;869487060175360;895110113909780348;CLARO-PE;51;992335142;;3G;False
1HJ4;869487060175881;869487060175881;895110113909780347;CLARO-PE;51;992331525;;3G;False
1HYH;869487060163887;869487060163887;895110113909780346;CLARO-PE;51;992331504;;3G;False
1HYX;869487060228169;869487060228169;895110113909780345;CLARO-PE;51;992330054;;3G;False
1HZD;869487060187100;869487060187100;895110113909780344;CLARO-PE;51;992344155;;3G;False
1HZT;869487060210589;869487060210589;895110113909780343;CLARO-PE;51;965782915;;3G;False
1I0D;869487060187647;869487060187647;895110113909780342;CLARO-PE;51;964309046;;3G;False
1I0T;869487060175329;869487060175329;895110113909780341;CLARO-PE;51;965781447;;3G;False
1AEI;869487060207460;869487060207460;895110113909780340;CLARO-PE;51;965782087;;3G;False
1AEY;869487060176525;869487060176525;895110113909780339;CLARO-PE;51;965781362;;3G;False
1AFE;869487060221735;869487060221735;895110113909780338;CLARO-PE;51;965750903;;3G;False
1AFU;869487060200515;869487060200515;895110113909780337;CLARO-PE;51;956781666;;3G;False
1AGA;869487060207205;869487060207205;895110113909780336;CLARO-PE;51;956783172;;3G;False
1AGQ;869487060205852;869487060205852;895110113909780335;CLARO-PE;51;965766219;;3G;False
1HH2;869487060202586;869487060202586;895110113909780334;CLARO-PE;51;992782132;;3G;False
1HHI;869487060175600;869487060175600;895110113909780333;CLARO-PE;51;992782790;;3G;False
1HHT;869487060208138;869487060208138;895110113909780332;CLARO-PE;51;962718020;;3G;False
1HI9;869487060175642;869487060175642;895110113909780331;CLARO-PE;51;956783664;;3G;False
1HIP;869487060213906;869487060213906;895110113909780330;CLARO-PE;51;956784450;;3G;False
1HJ5;869487060173910;869487060173910;895110113909780329;CLARO-PE;51;969758552;;3G;False
1HYI;869487060172375;869487060172375;895110113909780328;CLARO-PE;51;962717803;;3G;False
1HYY;869487060163457;869487060163457;895110113909780327;CLARO-PE;51;962719235;;3G;False
1HZE;869487060177960;869487060177960;895110113909780326;CLARO-PE;51;956782808;;3G;False
1HZU;869487060175139;869487060175139;895110113909780325;CLARO-PE;51;962718455;;3G;False
1I0E;869487060169686;869487060169686;895110113909780324;CLARO-PE;51;962702623;;3G;False
1I0U;869487060208880;869487060208880;895110113909780323;CLARO-PE;51;962719098;;3G;False
1AEC;869487060173423;869487060173423;895110113909780322;CLARO-PE;51;965766340;;3G;False
1AES;869487060205522;869487060205522;895110113909780321;CLARO-PE;51;965783715;;3G;False
1AF8;869487060215034;869487060215034;895110113909780320;CLARO-PE;51;964309063;;3G;False
1AFO;869487060173746;869487060173746;895110113909780319;CLARO-PE;51;964309062;;3G;False
1AG4;869487060183794;869487060183794;895110113909780318;CLARO-PE;51;964309061;;3G;False
1AGK;869487060178281;869487060178281;895110113909780317;CLARO-PE;51;964309060;;3G;False
1HGW;869487060175311;869487060175311;895110113909780316;CLARO-PE;51;997596369;;3G;False
1HHC;869487060165866;869487060165866;895110113909780315;CLARO-PE;51;997597070;;3G;False
1HHS;869487060222170;869487060222170;895110113909780314;CLARO-PE;51;997597064;;3G;False
1HI3;869487060205399;869487060205399;895110113909780313;CLARO-PE;51;997596228;;3G;False
1HIJ;869487060222584;869487060222584;895110113909780312;CLARO-PE;51;997596182;;3G;False
1HIZ;869487060225702;869487060225702;895110113909780311;CLARO-PE;51;965783277;;3G;False
1HJF;869487060179735;869487060179735;895110113909780310;CLARO-PE;51;965783129;;3G;False
1HXF;869487060200986;869487060200986;895110113909780309;CLARO-PE;51;980806851;;3G;False
1HYS;869487060223046;869487060223046;895110113909780308;CLARO-PE;51;952341157;;3G;False
1HZ8;869487060226361;869487060226361;895110113909780307;CLARO-PE;51;952341155;;3G;False
1HZO;869487060159539;869487060159539;895110113909780306;CLARO-PE;51;980816102;;3G;False
1I04;869487060224143;869487060224143;895110113909780305;CLARO-PE;51;980813112;;3G;False
1I08;869487060213898;869487060213898;895110113909780304;CLARO-PE;51;980808742;;3G;False
1I0O;869487060209813;869487060209813;895110113909780257;CLARO-PE;51;989250331;;3G;False
1I14;869487060204046;869487060204046;895110113909780258;CLARO-PE;51;989256893;;3G;False
1AEG;869487060213955;869487060213955;895110113909780259;CLARO-PE;51;992749412;;3G;False
1AEW;869487060202230;869487060202230;895110113909780260;CLARO-PE;51;956378172;;3G;False
1AFC;869487060201638;869487060201638;895110113909780261;CLARO-PE;51;989219185;;3G;False
1AFS;869487060177317;869487060177317;895110113909780262;CLARO-PE;51;964255104;;3G;False
1AG8;869487060185971;869487060185971;895110113909780263;CLARO-PE;51;984146327;;3G;False
1AGO;869487060185021;869487060185021;895110113909780264;CLARO-PE;51;989258354;;3G;False
1HH0;869487060184271;869487060184271;895110113909780265;CLARO-PE;51;952321669;;3G;False
1HHG;869487060233987;869487060233987;895110113909780266;CLARO-PE;51;953739353;;3G;False
1HI7;869487060200598;869487060200598;895110113909780267;CLARO-PE;51;989246845;;3G;False
1HIN;869487060223525;869487060223525;895110113909780268;CLARO-PE;51;989249098;;3G;False
1HJ3;869487060206884;869487060206884;895110113909780269;CLARO-PE;51;989252455;;3G;False
1HYG;869487060178737;869487060178737;895110113909780270;CLARO-PE;51;958784108;;3G;False
1HYW;869487060202016;869487060202016;895110113909780271;CLARO-PE;51;989250772;;3G;False
1HZC;869487060176574;869487060176574;895110113909780272;CLARO-PE;51;989250775;;3G;False
1HZS;869487060206223;869487060206223;895110113909780273;CLARO-PE;51;989250782;;3G;False
1I0C;869487060162459;869487060162459;895110113909780274;CLARO-PE;51;989259530;;3G;False
1I0S;869487060179149;869487060179149;895110113909780275;CLARO-PE;51;958784219;;3G;False
1AEK;869487060206603;869487060206603;895110113909780276;CLARO-PE;51;958794371;;3G;False
1AF0;869487060198420;869487060198420;895110113909780277;CLARO-PE;51;966358019;;3G;False
1AFG;869487060206611;869487060206611;895110113909780278;CLARO-PE;51;989258583;;3G;False
1AFW;869487060233938;869487060233938;895110113909780279;CLARO-PE;51;958783751;;3G;False
1AGC;869487060175758;869487060175758;895110113909780280;CLARO-PE;51;958785748;;3G;False
1AGS;869487060183323;869487060183323;895110113909780281;CLARO-PE;51;961724633;;3G;False
1HH4;869487060233813;869487060233813;895110113909780282;CLARO-PE;51;989258661;;3G;False
1HHK;869487060160578;869487060160578;895110113909780283;CLARO-PE;51;958783867;;3G;False
1HHV;869487060215091;869487060215091;895110113909780284;CLARO-PE;51;967724583;;3G;False
1HIB;869487060205167;869487060205167;895110113909780285;CLARO-PE;51;989249509;;3G;False
1HIR;869487060205845;869487060205845;895110113909780301;CLARO-PE;51;952307513;;3G;False
1HJ7;869487060207346;869487060207346;895110113909780302;CLARO-PE;51;980801434;;3G;False
1HYK;869487060183182;869487060183182;895110113909780303;CLARO-PE;51;980806371;;3G;False
1HZ0;869487060213724;869487060213724;895110113909780300;CLARO-PE;51;952307505;;3G;False
1HZG;869487060176962;869487060176962;895110113909780299;CLARO-PE;51;980828539;;3G;False
1HZW;869487060173670;869487060173670;895110113909780298;CLARO-PE;51;980822256;;3G;False
1I0G;869487060177002;869487060177002;895110113909780297;CLARO-PE;51;980815289;;3G;False
1I0W;869487060176426;869487060176426;895110113909780296;CLARO-PE;51;980814726;;3G;False
1AEF;869487060220356;869487060220356;895110113909780295;CLARO-PE;51;980807891;;3G;False
1AEV;869487060172458;869487060172458;895110113909780294;CLARO-PE;51;984143128;;3G;False
1AFB;869487060177135;869487060177135;895110113909780293;CLARO-PE;51;989257658;;3G;False
1AFR;869487060207437;869487060207437;895110113909780292;CLARO-PE;51;989257643;;3G;False
1AG7;869487060177804;869487060177804;895110113909780291;CLARO-PE;51;989248026;;3G;False
1AGN;869487060176756;869487060176756;895110113909780290;CLARO-PE;51;980582845;;3G;False
1HGZ;869487060223491;869487060223491;895110113909780289;CLARO-PE;51;989217462;;3G;False
1HHF;869487060208286;869487060208286;895110113909780288;CLARO-PE;51;949131486;;3G;False
1HI6;869487060177408;869487060177408;895110113909780287;CLARO-PE;51;989256830;;3G;False
1HIM;869487060221255;869487060221255;895110113909780286;CLARO-PE;51;989256810;;3G;False
1HJ2;869487060182515;869487060182515;895110113909780397;CLARO-PE;51;993128656;;3G;False
1HJI;869487060163820;869487060163820;895110113909780398;CLARO-PE;51;993206841;;3G;False
1HYF;869487060207809;869487060207809;895110113909780399;CLARO-PE;51;993209591;;3G;False
