"Unit Time","Data Center","Voltage","Latitude","Longitude","Raw Event","Event Name","Heading","Sequence #","GPS Speed","Address","Unit Type","Raw Data"
"2026/03/10 02:30:41 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603100730410a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 20:30:41 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/09 20:30:41 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603100130410a43004c00410052004f00054341542d31074341542d3120370f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 14:28:27 -05","AWS",,0,0,"04-22","Motion Start",0,306,"0.00",,"Topfly","272704004901320869487062724710801626030919282782dc006509569903698101b20123018f80980600109718ff4000000554830644003c000054600000000010f280000000ffd2"
"2026/03/09 13:03:58 -05","AWS",,0,0,"04-23","Motion Stop",0,305,"0.00",,"Topfly","272704004901310869487062724710001726030918035882dc0065095d70c869810124012300e100080080909717ff4000000554830640003c000054600000000010f280000000ffd5"
"2026/03/09 13:03:51 -05","AWS",,0,0,"02-M","Motion",0,2801,"0.00",,"Topfly","27270200490af10869487062724710000026030918035182dc0065095d70c869810124012300e100080080909717ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 13:01:51 -05","AWS",,0,0,"02-M","Motion",0,2799,"0.00",,"Topfly","27270200490aef0869487062724710000026030918015182dc0065095d70c86981012400e1012300580680609717ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 13:00:51 -05","AWS",,0,0,"02-M","Motion",0,2798,"0.00",,"Topfly","27270200490aee0869487062724710000026030918005182dc0065095d70c869810124012300e100480480809717ff4000000554830604003c000054600000000010f280000000ffd5"
"2026/03/09 12:59:50 -05","AWS",,0,0,"02-M","Motion",0,2797,"0.00",,"Topfly","27270200490aed0869487062724710000026030917595082dc0065095d70c869810124012300e100380480809717ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 12:58:50 -05","AWS",,0,0,"02-M","Motion",0,2796,"0.00",,"Topfly","27270200490aec0869487062724710000026030917585082dc0065095d70c86981012400e1012300480480709717ff4000000554830604003c000054600000000010f280000000ffd5"
"2026/03/09 12:57:50 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091757500a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 12:57:34 -05","AWS",,0,0,"04-22","Motion Start",0,304,"0.00",,"Topfly","272704004901300869487062724710801626030917573482dc0065095d70c8698101240123018c00580580609817ff40000005548305d4003c000054600000000010f280000000ffd2"
"2026/03/09 12:44:54 -05","AWS",,0,0,"02-M","Motion",0,2792,"0.00",,"Topfly","27270200490ae80869487062724710000026030917445482dc0065095d70c86981012400e1012300480480709717ff40000005548305d4003c000054600000000010f280000000ffd5"
"2026/03/09 12:42:56 -05","AWS",,0,0,"02-M","Motion",0,2790,"0.00",,"Topfly","27270200490ae60869487062724710000026030917425682dc0065095d70c86981012400e1012300780681109717ff4000000554830564003c000054600000000010f280000000ffd5"
"2026/03/09 12:41:52 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091741520a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 12:34:43 -05","AWS",,0,0,"02-M","Motion",0,2789,"0.00",,"Topfly","27270200490ae50869487062724710000026030917344382dc0065095d70c86981012400e1012300480380809717ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 12:33:43 -05","AWS",,0,0,"02-M","Motion",0,2788,"0.00",,"Topfly","27270200490ae40869487062724710000026030917334382dc0065095d70c86981012400e1012300480380809717ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 12:32:44 -05","AWS",,0,0,"02-M","Motion",0,2787,"0.00",,"Topfly","27270200490ae30869487062724710000026030917324482dc0065095d70c86981012400e1012300480380809817ff4000000554830604003c000054600000000010f280000000ffd5"
"2026/03/09 12:31:44 -05","AWS",,0,0,"02-M","Motion",0,2786,"0.00",,"Topfly","27270200490ae20869487062724710000026030917314482dc0065095d70c86981012400e1012300480480809717ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 12:30:43 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091730430a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 12:30:26 -05","AWS",,0,0,"04-22","Motion Start",0,300,"0.00",,"Topfly","2727040049012c0869487062724710001626030917302682dc006509569932698100e10124018c00480480709717ff4000000554830004003c000054600000000010f280000000ffd2"
"2026/03/09 12:29:03 -05","AWS",,0,0,"04-23","Motion Stop",0,299,"0.00",,"Topfly","2727040049012b0869487062724710001726030917290382dc0065095699966981018c0123012400480480809717ff4000000554830600003c000054600000000010f280000000ffd5"
"2026/03/09 12:26:32 -05","AWS",,0,0,"02-M","Motion",0,2783,"0.00",,"Topfly","27270200490adf0869487062724710000026030917263282dc006509569932698100e10124018c00480380809817ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 12:25:32 -05","AWS",,0,0,"02-M","Motion",0,2782,"0.00",,"Topfly","27270200490ade0869487062724710000026030917253282dc006509569932698100e10123012400480380809717ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 12:24:32 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091724320a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 12:24:15 -05","AWS",,0,0,"04-22","Motion Start",0,298,"0.00",,"Topfly","2727040049012a0869487062724710001626030917241582dc006509569932698100e1012400ff00480380809717ff4000000554830644003c000054600000000010f280000000ffd3"
"2026/03/09 12:21:13 -05","AWS",,0,0,"04-23","Motion Stop",0,297,"0.00",,"Topfly","272704004901290869487062724710001726030917211382dc0065095d70c86981012400e1012300480380809717ff4000000554830640003c000054600000000010f280000000ffd5"
"2026/03/09 12:20:48 -05","AWS",,0,0,"02-M","Motion",0,2781,"0.00",,"Topfly","27270200490add0869487062724710000026030917204882dc0065095d70c86981012400e1012300480380809717ff40000005548305d4003c000054600000000010f280000000ffd5"
"2026/03/09 12:18:45 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/09 12:18:45 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091718450a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 12:18:29 -05","AWS",,0,0,"04-22","Motion Start",0,296,"0.00",,"Topfly","272704004901280869487062724710001626030917182982dc0065095d70c8698101240123018c00480380809817ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 09:19:24 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050054000108694870627247102603091419240a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 09:19:09 -05","AWS",,0,0,"04-22","Motion Start",0,294,"0.00",,"Topfly","272704004901260869487062724710001626030914190982dc00650956990069810123018c000000480380809719ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 09:09:02 -05","AWS",,0,0,"04-23","Motion Stop",0,293,"0.00",,"Topfly","272704004901250869487062724710001726030914090282dc0065095d70c8698101240123018c00480380809719ff4000000554830600003c000054600000000010f280000000ffd5"
"2026/03/09 09:08:26 -05","AWS",,0,0,"02-M","Motion",0,2777,"0.00",,"Topfly","27270200490ad90869487062724710000026030914082682dc0065095d70c8698101240123018c00480380809719ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 09:07:22 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091407220a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 09:07:07 -05","AWS",,0,0,"04-22","Motion Start",0,292,"0.00",,"Topfly","272704004901240869487062724710001626030914070782dc0065095d70c8698101240000000000480380809719ff4000000554830604003c000054600000000010f280000000ffd5"
"2026/03/09 09:00:30 -05","AWS",,0,0,"04-23","Motion Stop",0,291,"0.00",,"Topfly","272704004901230869487062724710001726030914003082dc0065095d70c869810124012300e100480380809719ff4000000554830640003c000054600000000010f280000000ffd5"
"2026/03/09 09:00:26 -05","AWS",,0,0,"02-M","Motion",0,2776,"0.00",,"Topfly","27270200490ad80869487062724710000026030914002682dc0065095d70c869810124012300e100480380809719ff4000000554830644003c000054600000000010f280000000ffd5"
"2026/03/09 08:59:26 -05","AWS",,0,0,"02-M","Motion",0,2775,"0.00",,"Topfly","27270200490ad70869487062724710000026030913592682dc0065095d70c869810124012300e100480380809719ff4000000554830604003c000054600000000010f280000000ffd5"
"2026/03/09 08:58:07 -05","AWS",,0,0,"04-22","Motion Start",0,290,"0.00",,"Topfly","272704004901220869487062724710001626030913580782dc0065095d70c8698101240000000000480380809719ff40000005548305d4003c000054600000000010f280000000ffd5"
"2026/03/09 08:41:00 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091341000a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 08:26:47 -05","AWS",,0,0,"02-M","Motion",0,2760,"0.00",,"Topfly","27270200490ac80869487062724710000026030913264782dc0065095699006981012300e301b28058028070971bff40000005542d0294003c000054600000000010f280000000ffd5"
"2026/03/09 08:25:47 -05","AWS",,0,0,"02-M","Motion",0,2759,"0.00",,"Topfly","27270200490ac70869487062724710000026030913254782dc006509569900698101230124018e0020048080971bff40000005542d03a4003c000054600000000010f280000000ffd5"
"2026/03/09 07:42:28 -05","AWS",,0,0,"04-22","Motion Start",0,286,"0.00",,"Topfly","2727040049011e0869487062724710001626030912422882dc00650040fec86984007a0000000080200180909719ff4000000502810334003c000054600000000010f280000000ffd5"
"2026/03/09 07:37:49 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091237490a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 07:18:22 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091218220a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 07:14:18 -05","AWS",,0,0,"02-M","Motion",0,2714,"0.00",,"Topfly","27270200490a9a0869487062724710000026030912141882dc0065095665c969840099013b000080180280909819ff4000000502750304003c000054600000000010f280000000ffd5"
"2026/03/09 07:13:14 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/09 07:13:14 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603091213140a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/09 07:12:59 -05","AWS",,0,0,"04-22","Motion Start",0,280,"0.00",,"Topfly","272704004901180869487062724710001626030912125982dc0065095665c969840099013b000080180000709819ff4000000502750304003c000054600000000010f280000000ffd5"
"2026/03/09 04:02:56 -05","AWS",,0,0,"02-U","Update",0,2713,"0.00",,"Topfly","27270200490a990869487062724710000026030909025682dc006509569033699a01a2007a000080380800309819ff4000000502750220003c000054600000000010f280000000ffd5"
"2026/03/09 04:02:14 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/09 04:02:13 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603090902130a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/08 22:02:51 -05","AWS",,0,0,"02-U","Update",0,2712,"0.00",,"Topfly","27270200490a980869487062724710000026030903025182dc00650040fec86984007a000000008038080030971aff40000005027502c0003c000054600000000010f280000000ffd5"
"2026/03/08 22:02:12 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/08 22:02:12 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603090302120a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/08 16:02:55 -05","AWS",,0,0,"02-U","Update",0,2711,"0.00",,"Topfly","27270200490a970869487062724710000026030821025582dc00650040fec86984007a000000008038080030981bff40000005027502c0003c000054600000000010f280000000ffd5"
"2026/03/08 16:02:15 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603082102150a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/08 16:02:12 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/08 10:02:56 -05","AWS",,0,0,"02-U","Update",0,2710,"0.00",,"Topfly","27270200490a960869487062724710000026030815025682dc00650040fec86984007a000000008038080030981aff4000000502750300003c000054600000000010f280000000ffd5"
"2026/03/08 10:02:15 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050059000108694870627247102603081502151043006c00610072006f00200043004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/08 10:02:14 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/08 04:02:16 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603080902160a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/08 04:02:15 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 22:04:44 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 22:04:42 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603080304420a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 21:00:55 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 21:00:55 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603080200550a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 19:53:26 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603080053260a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 19:36:41 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603080036410a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 19:36:26 -05","AWS",,0,0,"04-22","Motion Start",0,272,"0.00",,"Topfly","272704004901100869487062724710801626030800362682dc0065095693c96981015a008b00a90000010090981eff40000004cba904b4003c000054600000000010f280000000ffd2"
"2026/03/07 18:59:53 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050054000108694870627247102603072359530a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 18:59:38 -05","AWS",,0,0,"04-22","Motion Start",0,270,"0.00",,"Topfly","2727040049010e0869487062724710801626030723593882dc0065095693016981008b015a00310020050070981dff40000004c42705d4003c000054600000000010f280000000ffd2"
"2026/03/07 18:57:29 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 18:57:29 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050054000108694870627247102603072357290a43004c00410052004f00054341542d31084341542d312032380f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 17:39:36 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603072239360a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 17:03:28 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603072203280a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 16:43:06 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603072143060a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 15:48:08 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603072048080a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 15:48:07 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 15:47:51 -05","AWS",,0,0,"04-22","Motion Start",0,260,"0.00",,"Topfly","272704004901040869487062724710001626030720475182dc0065095b55326981002a000000000020030080001aff41000004a9bc0644003c000054600000000010f280000000ffd5"
"2026/03/07 14:04:10 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 14:04:10 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603071904100a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 12:11:24 -05","AWS",,,,"01","Device Info",,2,"NaN",,"Topfly","2727010017000208694870627247100112030502101214"
"2026/03/07 12:11:24 -05","AWS",,,,"05","Comm Acquired",,2,"NaN",,"Topfly","2727050053000208694870627247102603071711240a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 12:01:07 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603071701070a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 11:52:05 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603071652050a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 11:34:59 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 11:34:59 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603071634590a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 11:34:41 -05","AWS",,0,0,"04-22","Motion Start",0,252,"0.00",,"Topfly","272704004900fc0869487062724710801626030716344182dc006509569033699a01a2015d00ee8018068080001aff410000044f110294003c000054600000000010f280000000ffc0"
"2026/03/07 09:56:57 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603071456570a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 09:32:41 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603071432410a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 09:32:40 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/07 03:32:42 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603070832420a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/07 03:32:41 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/06 21:31:41 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603070231410a43004c00410052004f00054341542d31074341542d3120320f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/06 21:31:40 -05","AWS",,,,"01","Device Info",,1,"NaN",,"Topfly","2727010017000108694870627247100112030502101214"
"2026/03/06 21:31:25 -05","AWS",,0,0,"04-22","Motion Start",0,248,"0.00",,"Topfly","272704004900f80869487062724710001626030702312582dc0065095665c969840099000000000008008010001aff410000044f1102c4003c000054600000000010f280000000ffd5"
"2026/03/06 19:34:32 -05","AWS",,0,0,"02-M","Motion",0,2387,"0.00",,"Topfly","272702004909530869487062724710000026030700343282dc0065095699966981018c00e1012380980480000018ff41000004028204f4003c000054600000000010f280000000ffd5"
"2026/03/06 19:33:31 -05","AWS",,,,"05","Comm Acquired",,1,"NaN",,"Topfly","2727050053000108694870627247102603070033310a43004c00410052004f00054341542d31074341542d3120350f373332313031373235333235343334143839353731303137303235303233323534333632"
"2026/03/06 19:33:14 -05","AWS",,0,0,"04-22","Motion Start",0,246,"0.00",,"Topfly","272704004900f60869487062724710001626030700331482dc006509569932698100e10124018c80780580200018ff4100000402820644003c000054600000000010f280000000ffd5"
"2026/03/06 19:19:03 -05","AWS",,0,0,"04-23","Motion Stop",0,245,"0.00",,"Topfly","272704004900f50869487062724710001726030700190382dc0065095699006981012300e1012480880080400018ff4100000402820640003c000054600000000010f280000000ffd5"
"2026/03/06 19:18:34 -05","AWS",,0,0,"02-M","Motion",0,2386,"0.00",,"Topfly","272702004909520869487062724710000026030700183482dc0065095699006981012300e1012480880080400018ff4100000402820644003c000054600000000010f280000000ffd5"
"2026/03/06 19:17:34 -05","AWS",,0,0,"02-M","Motion",0,2385,"0.00",,"Topfly","272702004909510869487062724710000026030700173482dc0065095699006981012300e100e380880080400018ff4100000402820644003c000054600000000010f280000000ffd5"
