,Row Id,Sequence #,Account Id,Server Time,Unit Time,Latitude,Longitude,Driver Name,Event Name,Raw Event,GPS Speed,ECU Speed,Address,Landmark ID,Satellites,Distance,HDOP,VDOP,RSSI,Engine Hours,Engine Hours + Off,ECU Engine Hours,ECU Engine Hours + Off,Engine Odometer,Engine Odometer + Off,ECU Engine Odometer,ECU Engine Odometer + Off,Battery Level,Raw Data
14,1772114180000,1056,26305,2026/02/26 08:56:22,2026/02/26 08:56:20,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049042008694870627247104e0026022613562000a87c44700d99c242c85d400000014b0010030090001aff41000001efa30644001e000004b00000000010f280000000ffd5
15,1772114150000,1055,26305,2026/02/26 08:55:52,2026/02/26 08:55:50,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041f08694870627247104e0026022613555000a87c44700d99c242c85d400000014b0010020090001aff41000001efa30604001e000004b00000000010f280000000ffd5
16,1772114120000,1054,26305,2026/02/26 08:55:22,2026/02/26 08:55:20,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041e08694870627247104e0026022613552000a87c44700d99c242c85d400000014b0010030090001aff41000001efa30604001e000004b00000000010f280000000ffd5
17,1772114090000,1053,26305,2026/02/26 08:54:53,2026/02/26 08:54:50,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,18,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041d0869487062724710520026022613545000a87c44700d99c242c85d400000014b0010030090001aff41000001efa30604001e000004b00000000010f280000000ffd5
18,1772114059000,1052,26305,2026/02/26 08:54:22,2026/02/26 08:54:19,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,0.0,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041c08694870627247104e0026022613541900a87c44700d99c242c85d400000014b0010040090001aff41000001efa30524001e000004b00000000010f280000000ffd5
26,1772112817000,1046,26305,2026/02/26 08:33:38,2026/02/26 08:33:37,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041608694870627247104a0026022613333700a87c44700d99c242c85d400000014b0010020090001bff41000001efa30644001e000004b00000000010f280000000ffd5
27,1772112787000,1045,26305,2026/02/26 08:33:08,2026/02/26 08:33:07,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041508694870627247104b0026022613330700a87c44700d99c242c85d400000014b0010030090001bff41000001efa30604001e000004b00000000010f280000000ffd5
28,1772112757000,1044,26305,2026/02/26 08:32:38,2026/02/26 08:32:37,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041408694870627247104b0026022613323700a87c44700d99c242c85d400000014b0010020090001bff41000001efa30644001e000004b00000000010f280000000ffd5
29,1772112727000,1043,26305,2026/02/26 08:32:08,2026/02/26 08:32:07,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041308694870627247104d0026022613320700a87c44700d99c242c85d400000014b0010020090001bff41000001efa30604001e000004b00000000010f280000000ffd5
30,1772112697000,1042,26305,2026/02/26 08:31:38,2026/02/26 08:31:37,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041208694870627247104b0026022613313700a87c44700d99c242c85d400000014b0010020090001bff41000001efa30644001e000004b00000000010f280000000ffd5
31,1772112667000,1041,26305,2026/02/26 08:31:08,2026/02/26 08:31:07,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041108694870627247104a0026022613310700a87c44700d99c242c85d400000014b0010030090001bff41000001efa30644001e000004b00000000010f280000000ffd5
32,1772112637000,1040,26305,2026/02/26 08:30:38,2026/02/26 08:30:37,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049041008694870627247104a0026022613303700a87c44700d99c242c85d400000014b0000040080001bff41000001efa30604001e000004b00000000010f280000000ffd5
33,1772112607000,1039,26305,2026/02/26 08:30:08,2026/02/26 08:30:07,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,8,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049040f0869487062724710480026022613300700a87c44700d99c242c85d400000014b0010040080001bff41000001efa30644001e000004b00000000010f280000000ffd5
34,1772112577000,1038,26305,2026/02/26 08:29:38,2026/02/26 08:29:37,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049040e08694870627247104a0026022613293700a87c44700d99c242c85d400000014b0010030080001bff41000001efa30604001e000004b00000000010f280000000ffd5
35,1772112547000,1037,26305,2026/02/26 08:29:08,2026/02/26 08:29:07,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,11,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049040d08694870627247104b0026022613290700a87c44700d99c242c85d400000014b0010030080001bff41000001efa305d4001e000004b00000000010f280000000ffd5
36,1772112517000,1036,26305,2026/02/26 08:28:38,2026/02/26 08:28:37,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,15,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049040c08694870627247104f0026022613283700a87c44700d99c242c85d400000014b0010030080001bff41000001efa30604001e000004b00000000010f280000000ffd5
37,1772112487000,1035,26305,2026/02/26 08:28:08,2026/02/26 08:28:07,3.4653477668762207,-76.5262451171875,,Motion,02-M,0.0,,"Avenida 5 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,16,15.7,,,,0,0,0,0,78.9,78.9,0,0,100,2727020049040b0869487062724710500026022613280700a87c44700d99c242c85d400000014b0010030080001bff41000001efa30644001e000004b00000000010f280000000ffd5
38,1772112277000,1028,26305,2026/02/26 08:24:38,2026/02/26 08:24:37,3.4652113914489746,-76.52611541748047,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,10,15.7,,,,0,0,0,0,78.8,78.8,0,0,100,2727020049040408694870627247104a0026022613243714567d445f0d99c206c65d400000015b0000020090001bff41000001ef8e02c4001e000004b00000000010f280000000ffd5
39,1772112247000,1027,26305,2026/02/26 08:24:08,2026/02/26 08:24:07,3.4652113914489746,-76.52611541748047,,Motion,02-M,0.0,,"Calle 23C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.7,,,,0,0,0,0,78.8,78.8,0,0,100,2727020049040308694870627247104e0026022613240714567d445f0d99c206c65d400000015b0000020090001bff41000001ef8e03e4001e000004b00000000010f280000000ffd5
40,1772112217000,1026,26305,2026/02/26 08:23:38,2026/02/26 08:23:37,3.4641273021698,-76.5264663696289,,Motion,02-M,21.13,,"Avenida 4 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.6,,,,0,0,0,0,78.8,78.8,0,0,100,2727020049040208694870627247104e00260226132337f81b7e448d0d99c243b45d400340001e0010010080001bff41000001ef060564001e000004b00000000010f280000000ffd5
41,1772112187000,1025,26305,2026/02/26 08:23:08,2026/02/26 08:23:07,3.4640634059906006,-76.5269546508789,,Motion,02-M,7.46,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.6,,,,0,0,0,0,78.7,78.7,0,0,100,2727020049040108694870627247104e002602261323076fba7e44cd0d99c237b35d40012000750010010080001bff41000001eec30644001e000004b00000000010f280000000ffd5
42,1772112157000,1024,26305,2026/02/26 08:22:38,2026/02/26 08:22:37,3.464915990829468,-76.52816009521484,,Motion,02-M,12.43,,"Calle 23A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.5,,,,0,0,0,0,78.59,78.59,0,0,100,2727020049040008694870627247104e00260226132237148e7e446b0e99c22fc15d400200007c0020000090001bff41000001ee1e0604001e000004b00000000010f280000000ffd5
43,1772112127000,1023,26305,2026/02/26 08:22:08,2026/02/26 08:22:07,3.4650754928588867,-76.52830505371094,,Motion,02-M,0.0,,"Avenida 5B Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.5,,,,0,0,0,0,78.59,78.59,0,0,100,272702004903ff08694870627247104e0026022613220785937e447e0e99c2ccc35d40000000a00020000090001bff41000001ee060644001e000004b00000000010f280000000ffd5
44,1772112097000,1022,26305,2026/02/26 08:21:38,2026/02/26 08:21:37,3.4650754928588867,-76.52830505371094,,Motion,02-M,0.0,,"Avenida 5B Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.5,,,,0,0,0,0,78.59,78.59,0,0,100,272702004903fe08694870627247104e0026022613213785937e447e0e99c2ccc35d40000000a00020010090001bff41000001ee060604001e000004b00000000010f280000000ffd5
45,1772112067000,1021,26305,2026/02/26 08:21:09,2026/02/26 08:21:07,3.4651925563812256,-76.52833557128906,,Motion,02-M,11.19,,"Avenida 5B Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.4,,,,0,0,0,0,78.59,78.59,0,0,100,272702004903fd08694870627247104e00260226132107235b7e44820e99c2b7c55d40018000a70018000110001bff41000001edf805d4001e000004b00000000010f280000000ffd5
46,1772112037000,1020,26305,2026/02/26 08:20:38,2026/02/26 08:20:37,3.4660356044769287,-76.52947235107422,,Motion,02-M,20.51,,"6N-16 Calle 24 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.3,,,,0,0,0,0,78.5,78.5,0,0,100,272702004903fc08694870627247104e0026022613203748897d44170f99c287d35d40033000530018000110001bff41000001ed270644001e000004b00000000010f280000000ffd5
47,1772112007000,1019,26305,2026/02/26 08:20:08,2026/02/26 08:20:07,3.465947389602661,-76.53035736083984,,Motion,02-M,0.0,,"6N-16 Calle 24 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.3,,,,0,0,0,0,78.4,78.4,0,0,100,272702004903fb08694870627247104e00260226132007b8867d448b0f99c215d25d40000000540028010160001bff41000001ecc405d4001e000004b00000000010f280000000ffd5
48,1772111977000,1018,26305,2026/02/26 08:19:38,2026/02/26 08:19:37,3.4661152362823486,-76.53111267089844,,Motion,02-M,13.05,,"Avenida 6A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,15.2,,,,0,0,0,0,78.3,78.3,0,0,100,272702004903fa08694870627247104d00260226131937e7537c44ee0f99c2d5d45d40021000b20028010160001bff41000001ec6405d4001e000004b00000000010f280000000ffd5
49,1772111947000,1017,26305,2026/02/26 08:19:08,2026/02/26 08:19:07,3.4680705070495605,-76.53102111816406,,Motion,02-M,16.16,,"Avenida 6A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,15.1,,,,0,0,0,0,78.2,78.2,0,0,100,272702004903f908694870627247104e0026022613190723b37b44e20f99c2def45d40026000bb0000010110001bff41000001eb8a0644001e000004b00000000010f280000000ffd5
50,1772111917000,1016,26305,2026/02/26 08:18:38,2026/02/26 08:18:37,3.4707255363464355,-76.52941131591797,,Motion,02-M,28.59,,"Avenida 6A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,14.8,,,,0,0,0,0,78.0,78.0,0,0,100,272702004903f808694870627247104e00260226131837fcc17a440f0f99c25e205e40046000d40000010110001bff41000001ea2f05d4001e000004b00000000010f280000000ffd5
51,1772111887000,1015,26305,2026/02/26 08:18:08,2026/02/26 08:18:07,3.4715492725372314,-76.52888488769531,,Motion,02-M,13.67,,"Avenida 6 Bis Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,14.8,,,,0,0,0,0,77.9,77.9,0,0,100,272702004903f708694870627247104e0026022613180704fe7944ca0e99c2dd2d5e40022000d80028020130001bff41000001e9c20604001e000004b00000000010f280000000ffd5
52,1772111857000,1014,26305,2026/02/26 08:17:38,2026/02/26 08:17:37,3.473283290863037,-76.52751922607422,,Motion,02-M,31.08,,"Avenida 6A Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,13,14.6,,,,0,0,0,0,77.8,77.8,0,0,100,272702004903f608694870627247104d0026022613173758b17844170e99c2464a5e40050000e50028020130001bff41000001e8ca03a4001e000004b00000000010f280000000ffd5
53,1772111827000,1013,26305,2026/02/26 08:17:08,2026/02/26 08:17:07,3.476163387298584,-76.52672576904297,,Motion,02-M,23.0,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,14.4,,,,0,0,0,0,77.5,77.5,0,0,100,272702004903f508694870627247104e00260226131707ac747b44af0d99c276795e40037000b80000000080001bff41000001e7550564001e000004b00000000010f280000000ffd5
54,1772111797000,1012,26305,2026/02/26 08:16:38,2026/02/26 08:16:37,3.4786837100982666,-76.5258560180664,,Motion,02-M,28.59,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760046, Colombia",,14,14.2,,,,0,0,0,0,77.4,77.4,0,0,100,272702004903f408694870627247104e00260226131637443b7a443d0d99c2c1a25e40046000c30000000080001bff41000001e62b0644001e000004b00000000010f280000000ffd5
55,1772111767000,1011,26305,2026/02/26 08:16:08,2026/02/26 08:16:07,3.480965137481689,-76.5250244140625,,Motion,02-M,22.37,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,13,14.0,,,,0,0,0,0,77.2,77.2,0,0,100,272702004903f308694870627247104d00260226131607fc697b44d00c99c222c85e40036000bc0000020070001bff41000001e51c0644001e000004b00000000010f280000000ffd5
56,1772111737000,1010,26305,2026/02/26 08:15:38,2026/02/26 08:15:37,3.4840662479400635,-76.52597045898438,,Motion,02-M,22.37,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.8,,,,0,0,0,0,77.0,77.0,0,0,100,272702004903f208694870627247104e00260226131537f8337e444c0d99c2f1fa5e40036000a80000020070001bff41000001e3b00564001e000004b00000000010f280000000ffd5
57,1772111707000,1009,26305,2026/02/26 08:15:08,2026/02/26 08:15:07,3.4847192764282227,-76.52603912353516,,Motion,02-M,0.0,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.8,,,,0,0,0,0,76.9,76.9,0,0,100,272702004903f108694870627247104e002602261315077d7f7d44550d99c2a4055f40000000b68010050100001bff41000001e3670484001e000004b00000000010f280000000ffd5
58,1772111677000,1008,26305,2026/02/26 08:14:38,2026/02/26 08:14:37,3.485183000564575,-76.52600860595703,,Motion,02-M,0.0,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.7,,,,0,0,0,0,76.9,76.9,0,0,100,272702004903f008694870627247104e00260226131437aa497c44510d99c23d0d5f40000000ae8010050100001bff41000001e33304b4001e000004b00000000010f280000000ffd5
59,1772111647000,1007,26305,2026/02/26 08:14:08,2026/02/26 08:14:07,3.4871585369110107,-76.52582550048828,,Motion,02-M,10.57,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.6,,,,0,0,0,0,76.7,76.7,0,0,100,272702004903ef08694870627247104e00260226131407c5c07944390d99c29b2d5f40017000b50000010090001bff41000001e2560524001e000004b00000000010f280000000ffd5
60,1772111617000,1006,26305,2026/02/26 08:13:38,2026/02/26 08:13:37,3.4888503551483154,-76.52519226074219,,Motion,02-M,19.27,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.5,,,,0,0,0,0,76.59,76.59,0,0,100,272702004903ee08694870627247104e00260226131337fa4e7944e60c99c253495f40031000d10000010090001bff41000001e18804b4001e000004b00000000010f280000000ffd5
61,1772111587000,1005,26305,2026/02/26 08:13:08,2026/02/26 08:13:07,3.489243745803833,-76.52497863769531,,Motion,02-M,0.0,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.4,,,,0,0,0,0,76.59,76.59,0,0,100,272702004903ed08694870627247104e00260226131307c9567944ca0c99c2c54f5f40000000d10010010080001bff41000001e1570444001e000004b00000000010f280000000ffd5
62,1772111557000,1004,26305,2026/02/26 08:12:38,2026/02/26 08:12:37,3.4906318187713623,-76.52406311035156,,Motion,02-M,8.7,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.3,,,,0,0,0,0,76.5,76.5,0,0,100,272702004903ec08694870627247104e002602261312374e727944520c99c283665f40014000df0010010080001bff41000001e09d04b4001e000004b00000000010f280000000ffd5
63,1772111527000,1003,26305,2026/02/26 08:12:08,2026/02/26 08:12:07,3.493005990982056,-76.52359771728516,,Motion,02-M,19.89,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.2,,,,0,0,0,0,76.3,76.3,0,0,100,272702004903eb08694870627247104e00260226131207040e7a44150c99c2698d5f40032000ba8000000080001bff41000001df8d0644001e000004b00000000010f280000000ffd5
64,1772111497000,1002,26305,2026/02/26 08:11:38,2026/02/26 08:11:37,3.4947547912597656,-76.52293395996094,,Motion,02-M,12.43,,"Calle 10, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,13.0,,,,0,0,0,0,76.2,76.2,0,0,100,272702004903ea08694870627247104e00260226131137b0127a44be0b99c210aa5f40020000ed8000000080001bff41000001deba04b4001e000004b00000000010f280000000ffd5
65,1772111467000,1001,26305,2026/02/26 08:11:08,2026/02/26 08:11:07,3.4937705993652344,-76.52307891845703,,Motion,02-M,0.0,,"Avenida 6 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,12.9,,,,0,0,0,0,76.09,76.09,0,0,100,272702004903e908694870627247104e00260226131107f8f37844d10b99c2f0995f40000000260000000090001bff41000001de190484001e000004b00000000010f280000000ffd5
66,1772111437000,1000,26305,2026/02/26 08:10:38,2026/02/26 08:10:37,3.492536783218384,-76.52296447753906,,Motion,02-M,0.0,,"Avenida 5C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,12.8,,,,0,0,0,0,76.0,76.0,0,0,100,272702004903e808694870627247104e002602261310377be47844c20b99c2b9855f40000001550000000090001aff41000001dd860564001e000004b00000000010f280000000ffd5
67,1772111407000,999,26305,2026/02/26 08:10:08,2026/02/26 08:10:07,3.492536783218384,-76.52296447753906,,Motion,02-M,0.0,,"Avenida 5C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,12.8,,,,0,0,0,0,76.0,76.0,0,0,100,272702004903e708694870627247104e002602261310077be47844c20b99c2b9855f40000001550010010090001aff41000001dd860524001e000004b00000000010f280000000ffd5
68,1772111377000,998,26305,2026/02/26 08:09:38,2026/02/26 08:09:37,3.492536783218384,-76.52296447753906,,Motion,02-M,0.0,,"Avenida 5C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,12.8,,,,0,0,0,0,76.0,76.0,0,0,100,272702004903e608694870627247104e002602261309377be47844c20b99c2b9855f40000001550010010090001aff41000001dd860644001e000004b00000000010f280000000ffd5
69,1772111347000,997,26305,2026/02/26 08:09:08,2026/02/26 08:09:07,3.492536783218384,-76.52296447753906,,Motion,02-M,4.35,,"Avenida 5C Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,12,12.8,,,,0,0,0,0,76.0,76.0,0,0,100,272702004903e508694870627247104c002602261309077be47844c20b99c2b9855f40007001550018060040001aff41000001dd860644001e000004b00000000010f280000000ffd5
70,1772111317000,996,26305,2026/02/26 08:08:38,2026/02/26 08:08:37,3.491657257080078,-76.52163696289062,,Motion,02-M,9.94,,"Calle 64 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,13,12.7,,,,0,0,0,0,75.9,75.9,0,0,100,272702004903e408694870627247104d002602261308372b077844140b99c250775f400160012d0018060040001aff41000001dcd20484001e000004b00000000010f280000000ffd5
71,1772111287000,995,26305,2026/02/26 08:08:08,2026/02/26 08:08:07,3.4928348064422607,-76.52123260498047,,Motion,02-M,12.43,,"Calle 67 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,12,12.6,,,,0,0,0,0,75.8,75.8,0,0,100,272702004903e308694870627247104c0026022613080791057744df0a99c29b8a5f40020001128008080020001aff41000001dc1f03e4001e000004b00000000010f280000000ffd5
72,1772111257000,994,26305,2026/02/26 08:07:38,2026/02/26 08:07:37,3.4920883178710938,-76.5186767578125,,Motion,02-M,19.89,,"Calle 67 Norte, Perímetro Urbano Santiago de Cali, Valle del Cauca, 760050, Colombia",,14,12.4,,,,0,0,0,0,75.59,75.59,0,0,100,272702004903e208694870627247104e00260226130737446b7644900999c2607e5f40032001218008080020001aff41000001daf70444001e000004b00000000010f280000000ffd5
