,Serial,Reportadas por,Caso,Característica,ACTION
77,6B301AT4,Thaylers,TS000176903,Usada,Keep
78,6B3101HC,Thaylers,TS000176903,Usada,Keep
79,6B3101BV,Thaylers,TS000176903,Usada,Keep
80,6B301B52,Thaylers,TS000176903,Usada,Keep
81,6B301GQ7,Thaylers,TS000176903,Usada,Keep
82,6B31117G,Thaylers,TS000176903,Usada,Keep
83,6B3101BU,Thaylers,TS000176903,Usada,Keep
84,6B31115M,Thaylers,TS000176903,Usada,Keep
85,6B301GMX,Thaylers,TS000176903,Usada,Keep
86,6B301GPL,Thaylers,TS000176903,Usada,Keep
87,6B301GRL,Thaylers,TS000176903,Usada,Keep
88,6B301GEU,Thaylers,TS000176903,Usada,Keep
89,6B3101H8,Thaylers,TS000176903,Usada,Keep
90,6B301AHY,Thaylers,TS000176903,Usada,Keep
91,6B3101BY,Thaylers,TS000176903,Usada,Keep
92,6B3101FC,Thaylers,TS000176903,Usada,Keep
96,6B301GML,Thaylers,TS000176903,Usada,Keep
97,6B301AXT,Thaylers,TS000176903,Usada,Keep
98,6B301AYK,Thaylers,TS000176903,Usada,Keep
99,6B301GNC,Thaylers,TS000176903,Usada,Keep
100,6B301GEZ,Thaylers,TS000176903,Usada,Keep
101,6B301APZ,Thaylers,TS000176903,Usada,Keep
102,6B301GS0,Thaylers,TS000176903,Usada,Keep
103,6B301AMQ,Thaylers,TS000176903,Usada,Keep
104,6B301AYL,Thaylers,TS000176903,Usada,Keep
105,6B301AT1,Thaylers,TS000176903,Usada,Keep
106,6B301GR8,Thaylers,TS000176903,Usada,Keep
107,6B301A83,Thaylers,TS000176903,Usada,Keep
108,6B301GQK,Thaylers,TS000176903,Usada,Keep
109,6B301GHQ,Thaylers,TS000176903,Usada,Keep
110,6B301ALR,Thaylers,TS000176903,Usada,Keep
111,6B301AH1,Thaylers,TS000176903,Usada,Keep
112,6B301AYQ,Thaylers,TS000176903,Usada,Keep
113,6B31114G,Thaylers,TS000176903,Usada,Keep
114,6B301GSJ,Thaylers,TS000176903,Usada,Keep
115,6B31115G,Thaylers,TS000176903,Usada,Keep
116,6B31116J,Thaylers,TS000176903,Usada,Keep
117,6B31117Y,Thaylers,TS000176903,Usada,Keep
118,6B3101FD,Thaylers,TS000176903,Usada,Keep
119,6B301GSL,Thaylers,TS000176903,Usada,Keep
120,6B311156,Thaylers,TS000176903,Usada,Keep
121,6B301AXL,Thaylers,TS000176903,Usada,Keep
122,6B31116D,Thaylers,TS000176903,Usada,Keep
123,6B31115H,Thaylers,TS000176903,Usada,Keep
124,6B3101FJ,Thaylers,TS000176903,Usada,Keep
125,6B301A6B,Thaylers,TS000176903,Usada,Keep
126,6B31111E,Thaylers,TS000176903,Usada,Keep
127,6B3019UR,Thaylers,TS000176903,Usada,Keep
128,6B311177,Thaylers,TS000176903,Nueva,Keep
129,6B3101B5,Thaylers,TS000176903,Nueva,Keep
131,6B301AJG,Thaylers,TS000176903,Nueva,Keep
132,6B301AR1,Thaylers,TS000176903,Nueva,Keep
133,6B31115J,Thaylers,TS000176903,Nueva,Keep
134,6B3101D4,Thaylers,TS000176903,Nueva,Keep
135,6B301BUK,Thaylers,TS000176903,Nueva,Keep
139,6B301BEQ,Thaylers,TS000176903,Nueva,Keep
140,6B301ANV,Thaylers,TS000176903,Nueva,Keep
141,8B52217F,Daniel,TS000175399,Usada,Keep
142,8B51424U,Daniel,TS000175399,Usada,Keep
143,8B52211J,Daniel,TS000175399,Usada,Keep
144,8B522148,Daniel,TS000175399,Usada,Keep
145,8B522164,Daniel,TS000175399,Usada,Keep
146,8B52529C,Daniel,TS000175399,Usada,Keep
147,8B5141ZU,Daniel,TS000175399,Usada,Keep
148,8B51429R,Daniel,TS000175399,Usada,Keep
149,8B51424A,Daniel,TS000175399,Usada,Keep
150,8B51426K,Daniel,TS000175399,Usada,Keep
151,8B51422H,Daniel,TS000175399,Usada,Keep
152,8B5251WZ,Daniel,TS000175399,Usada,Keep
153,8B52523C,Daniel,TS000175399,Usada,Keep
