,Message
107,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111253,0732,0101,138A,60E59E9,04,12,118352.5,05693:48:23,,,100,210100,,,,20260302111301,6DC0$"
108,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111353,0732,0101,138A,60E59E9,04,12,118352.5,05693:49:23,,,100,210100,,,,20260302111401,6DC1$"
109,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111453,0732,0101,138A,60E59E9,04,12,118352.5,05693:50:23,,,100,210100,,,,20260302111501,6DC2$"
110,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111553,0732,0101,138A,60E59E9,04,12,118352.5,05693:51:23,,,100,210100,,,,20260302111601,6DC3$"
111,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2533.5,-74.185156,4.591646,20260302111602,0732,0101,138A,60E59E9,06,220100,12,20260302111607,6DC4$"
112,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111653,0732,0101,138A,60E59E9,04,12,118352.5,05693:52:23,,,100,220100,,,,20260302111702,6DC5$"
113,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111753,0732,0101,138A,60E59E9,04,12,118352.5,05693:53:23,,,100,220100,,,,20260302111802,6DC6$"
114,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111856,0732,0101,138A,60E59E9,04,12,118352.5,05693:54:23,,,100,220100,,,,20260302111902,6DC7$"
115,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302111956,0732,0101,138A,60E59E9,04,12,118352.5,05693:55:23,,,100,220100,,,,20260302112002,6DC8$"
116,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302112056,0732,0101,138A,60E59E9,04,12,118352.5,05693:56:23,,,100,220100,,,,20260302112102,6DC9$"
117,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302112156,0732,0101,138A,60E59E9,04,12,118352.5,05693:57:23,,,100,220100,,,,20260302112202,6DCA$"
118,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,37,2533.5,-74.185156,4.591646,20260302112214,0732,0101,138A,60E59E9,06,210100,12,20260302112218,6DCB$"
119,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302112256,0732,0101,138A,60E59E9,04,12,118352.5,05693:58:23,,,100,210100,,,,20260302112302,6DCC$"
120,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2533.5,-74.185156,4.591646,20260302112308,0732,0101,138A,60E59E9,06,220100,12,20260302112315,6DCD$"
121,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,37,2533.5,-74.185156,4.591646,20260302112341,0732,0101,138A,60E59E9,06,210100,12,20260302112347,6DCE$"
122,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302112356,0732,0101,138A,60E59E9,04,12,118352.5,05693:59:23,,,100,210100,,,,20260302112402,6DCF$"
123,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302112456,0732,0101,138A,60E59E9,04,12,118352.5,05694:00:23,,,100,210100,,,,20260302112502,6DD0$"
124,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2533.5,-74.185156,4.591646,20260302112556,0732,0101,138A,60E59E9,04,12,118352.5,05694:01:23,,,100,210100,,,,20260302112602,6DD1$"
125,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2533.5,-74.185156,4.591646,20260302112614,0732,0101,138A,60E59E9,06,220100,12,20260302112620,6DD2$"
126,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2571.6,-74.185762,4.591675,20260302112656,0732,0101,138A,60E59E9,04,12,118352.5,05694:02:23,,,100,220100,,,,20260302112702,6DD3$"
127,"+RESP:GTSTT,500700,868574042784996,,21,0,0.0,37,2571.6,-74.185762,4.591675,20260302112708,0732,0101,138A,60E59E9,06,210100,12,20260302112715,6DD4$"
128,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2571.6,-74.185762,4.591675,20260302112756,0732,0101,138A,60E59E9,04,12,118352.5,05694:03:23,,,100,210100,,,,20260302112802,6DD5$"
129,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2571.6,-74.185762,4.591675,20260302112856,0732,0101,138A,60E59E9,04,12,118352.5,05694:04:23,,,100,210100,,,,20260302112902,6DD6$"
130,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2571.6,-74.185762,4.591675,20260302112956,0732,0101,138A,60E59E9,04,12,118352.5,05694:05:23,,,100,210100,,,,20260302113002,6DD7$"
131,"+RESP:GTSTT,500700,868574042784996,,22,0,0.0,37,2571.6,-74.185762,4.591675,20260302113029,0732,0101,138A,60E59E9,06,220100,12,20260302113035,6DD8$"
132,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,37,2571.6,-74.185762,4.591675,20260302113056,0732,0101,138A,60E59E9,04,12,118352.5,05694:06:23,,,100,220100,,,,20260302113102,6DD9$"
133,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,24.1,258,2570.9,-74.186104,4.591606,20260302113135,0732,0101,138A,60E2799,04,12,118352.6,05694:06:58,,,100,220100,,,,20260302113139,6DDA$"
134,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,246,2568.1,-74.186911,4.591243,20260302113156,0732,0101,138A,60E8CB8,04,12,118352.7,05694:07:23,,,100,220100,,,,20260302113202,6DDB$"
135,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,17.0,244,2565.3,-74.188565,4.590444,20260302113256,0732,0101,138A,60E2799,04,12,118352.9,05694:08:23,,,100,220100,,,,20260302113302,6DDC$"
136,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,244,2568.8,-74.189916,4.589825,20260302113356,0732,0101,138A,60E2799,04,12,118353.1,05694:09:23,,,100,220100,,,,20260302113402,6DDD$"
137,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,7.8,239,2571.7,-74.190493,4.589506,20260302113456,0732,0101,138A,60E279B,04,12,118353.1,05694:10:23,,,100,220100,,,,20260302113502,6DDE$"
138,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,9.0,207,2571.4,-74.190843,4.589162,20260302113520,0732,0101,138A,60E279B,04,12,118353.2,05694:10:43,,,100,220100,,,,20260302113524,6DDF$"
139,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,12.8,158,2570.5,-74.190775,4.588942,20260302113529,0732,0101,138A,60E279B,04,12,118353.2,05694:10:53,,,100,220100,,,,20260302113533,6DE0$"
140,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,10.4,139,2573.0,-74.190207,4.588147,20260302113556,0732,0101,138A,60E279B,04,12,118353.3,05694:11:23,,,100,220100,,,,20260302113602,6DE1$"
141,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,24.6,190,2576.2,-74.190047,4.587491,20260302113620,0732,0101,138A,60EB45A,04,12,118353.4,05694:11:43,,,100,220100,,,,20260302113624,6DE2$"
142,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,17.2,197,2579.6,-74.190449,4.585249,20260302113656,0732,0101,138A,60EB45A,04,12,118353.7,05694:12:23,,,100,220100,,,,20260302113702,6DE3$"
143,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,32.4,232,2583.7,-74.191905,4.581973,20260302113756,0732,0101,138A,60E12A2,04,12,118354.1,05694:13:23,,,100,220100,,,,20260302113802,6DE4$"
144,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,14.6,235,2582.6,-74.192651,4.581359,20260302113811,0732,0101,138A,60E12A2,04,12,118354.2,05694:13:33,,,100,220100,,,,20260302113815,6DE5$"
145,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,9.0,295,2582.2,-74.192894,4.581357,20260302113823,0732,0101,138A,60E12A2,04,12,118354.2,05694:13:48,,,100,220100,,,,20260302113827,6DE6$"
146,"+RESP:GTFRI,500700,868574042784996,,,11,1,1,30.7,341,2577.1,-74.193383,4.581840,20260302113835,0732,0101,138A,60E12A2,04,12,118354.3,05694:13:58,,,100,220100,,,,20260302113839,6DE7$"
147,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,24.1,329,2571.3,-74.194049,4.583433,20260302113856,0732,0101,138A,60E12A2,04,12,118354.5,05694:14:23,,,100,220100,,,,20260302113902,6DE8$"
148,"+RESP:GTSTC,500700,868574042784996,,,0,0.0,327,2567.9,-74.194394,4.583935,20260302113941,0732,0101,138A,60E8D04,06,220100,12,20260302113948,6DE9$"
149,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,22.1,326,2567.0,-74.194641,4.584299,20260302113956,0732,0101,138A,60E8D04,04,12,118354.6,05694:15:23,,,100,220100,,,,20260302114002,6DEA$"
150,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,19.2,337,2559.8,-74.196118,4.587163,20260302114056,0732,0101,138A,60E8D07,04,12,118355.0,05694:16:23,,,100,220100,,,,20260302114102,6DEB$"
151,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,4.8,310,2567.6,-74.197838,4.589753,20260302114156,0732,0101,138A,60E8CE9,04,12,118355.3,05694:17:23,,,100,220100,,,,20260302114202,6DEC$"
152,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,310,2567.3,-74.197858,4.589769,20260302114256,0732,0101,138A,60E8CE9,04,12,118355.3,05694:18:23,,,100,220100,,,,20260302114302,6DED$"
153,"+RESP:GTFRI,500700,868574042784996,,,10,1,1,0.0,310,2567.3,-74.197858,4.589769,20260302114356,0732,0101,138A,60E8CE9,04,12,118355.3,05694:19:23,,,100,220100,,,,20260302114402,6DEE$"
