Dealer,Company1,VIP,FEIN,DNI,Peripherals,ServiceName,IsRenting,UnitID1,ShortName,UnitType,Carrier,MonthlyFee,BillingGroup,BillingPeriod,LastServicePaidUntil,ServicePaidUntil,SerialNumber,PhoneNumber,IMEI,BillTo,Suspended,EventName,AssignedToCompanyOn,LastEventDate,LastContactOn,LastEventAddress
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I7M,EXO #125 NO FUNCIONA,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764339852,5901008466019,359369090935954,,Active,Parked,7/15/2026 10:03:26 AM,6/19/2023 5:38:55 PM,6/19/2023 5:39:24 PM,"Av De Las Flores-32, Santiago, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I7R,EXO-28 ALFREDO IBARR,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764335866,5901008538332,359369090504974,,Active,Parked,7/15/2026 10:01:11 AM,8/19/2026 9:56:38 AM,8/19/2026 9:56:42 AM,"Calle Siete, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I7V,EXO-88 ,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764339854,5901008496455,358077091503827,,Active,Parked,7/15/2026 10:00:10 AM,8/1/2026 12:53:51 PM,8/1/2026 12:54:01 PM,"Av De Las Flores-30, Santiago, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I80,EXO-41 ,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764339845,5901008493969,359369090922457,,Active,Ignition ON,7/15/2026 10:00:41 AM,8/16/2026 5:13:38 PM,8/16/2026 5:14:02 PM,"Av De Las Flores-28, Santiago, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I82,EXO-99 ,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764339840,5901008489445,358077091605614,,Active,Travel Start,7/15/2026 9:59:57 AM,6/7/2026 5:56:01 PM,6/7/2026 5:56:25 PM,"SR-85, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I83,EXO-26 ROGELIO CAVAD,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764339842,5901008522608,359369090936481,,Active,Parked,7/15/2026 10:01:22 AM,8/19/2026 7:07:40 AM,8/19/2026 9:08:22 AM,"Av 40, Saltillo, Coahuila, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0I85,EXO #127 BAJA NO DA ,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764409663,5905901017369661,352556102154528,,Active,Idle - Stop,7/15/2026 10:03:17 AM,5/14/2023 11:37:02 AM,2/8/2024 8:59:41 PM,Gulf of Guinea
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0IVB,EXO-09 EDY GZZ BAJA,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764330706,5901008518063,359369090497476,,Active,Ignition OFF,7/15/2026 10:03:01 AM,2/27/2025 4:54:50 PM,2/27/2025 4:55:06 PM,"Via Principal-29, Santiago, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0IVE,EXO-25 SERGIO RUVALC,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764330659,5901008479956,359369090309374,,Active,Idle - Stop,7/15/2026 10:01:52 AM,8/19/2026 10:23:15 AM,8/19/2026 10:23:30 AM,"SR-85D, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0IW9,0IW9,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764335583,5901020172851,359369090338563,,Active,Parked,7/22/2026 7:03:53 AM,4/21/2026 3:36:23 AM,4/21/2026 3:36:52 AM,"SR-85, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0J6I,EXO-204 JOSE GCIA BA,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764409675,5901017369665,352556102169674,,Active,Parked,7/15/2026 10:02:12 AM,12/4/2024 3:51:52 AM,12/4/2024 3:52:17 AM,"Regioavenida 103, Ciudad Apodaca, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0KPP,EXO-100 ADAN GARCIA,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,1363106378,5901012476138,358077091643847,,Active,Parked,7/15/2026 10:02:53 AM,8/19/2026 10:35:06 AM,8/19/2026 10:35:07 AM,"Huinala, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0KRB,JUAN ESCALANTE,"CalAmp 2630 - HSPA -LMU26H3001-G1000
",MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,4764345268,5901009784924,358077091147112,,Active,Drive,7/13/2026 2:18:48 PM,11/13/2025 9:41:03 AM,11/13/2025 9:41:17 AM,"Cap. Emilio Carranza 810-local 2, Zona Centro, 89000 Tampico, Tamps., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0NVG,130,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,1363106311,,358077091670352,,Active,Travel Start,7/8/2026 5:51:52 AM,5/4/2026 8:57:37 PM,5/4/2026 9:02:43 PM,"Avenida Margarito F Ayala, México"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0O5F,EXO-140 RAMIRO RAMOS,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,1363122656,5901014914871,359369091108502,,Active,Parked,7/15/2026 10:02:21 AM,8/19/2026 9:47:05 AM,8/19/2026 9:47:28 AM,"Huinala, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0QFN,JOSE SERRATO TORNADO,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,1363122941,5901013635296,359369091018941,,Active,Towing/Drifting?,7/14/2026 2:30:24 PM,7/14/2026 1:51:11 PM,7/14/2026 1:51:20 PM,"Vía Monterrey-torreón 535, Jardines de Escobedo II, 66050 Cd Gral Escobedo, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0QFT,104,CalAmp 0330H - 3G - LMU0330H-SKM6-G1000,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,1363122217,,359369091197711,,Active,Parked,7/8/2026 5:51:18 AM,3/18/2026 5:32:58 PM,3/18/2026 7:34:55 PM,"2DA Privada 5 de Mayo, México"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0WPT,EXO-128 ,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,868574041701090,5901013070275,868574041701090,,Active,Power OFF,7/15/2026 10:02:38 AM,12/8/2025 12:06:06 PM,12/8/2025 12:06:35 PM,"Av De Las Flores-30, Santiago, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0WQ3,ES-TSURU-ALBAÑIL,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,868574041681920,5901013065055,868574041681920,,Active,Ignition OFF,7/20/2026 5:50:46 AM,8/19/2026 10:27:56 AM,8/19/2026 10:26:10 AM,"Manuel Maria del Llano, Monterrey, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0YI4,EXO-127 JOSE CARRILL,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,868574041684122,5901000727900,868574041684122,,Active,Parked,7/15/2026 10:02:46 AM,8/19/2026 9:50:06 AM,8/19/2026 9:50:08 AM,"Av 588, Saltillo, Coahuila, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0YIL,EXO-13 ,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,868574041873816,5901019186418,868574041873816,,Active,Parked,7/15/2026 10:02:30 AM,8/19/2026 9:35:48 AM,8/19/2026 9:35:48 AM,"Via Principal-34, Marin, Nuevo Leon, Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,0ZAD,162,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,868574041287702,5901019694960,868574041287702,,Active,Power OFF,7/29/2026 6:34:04 AM,8/10/2026 7:13:06 PM,8/10/2026 7:13:00 PM,"Ixtaczoquitlán - Nogales 720, 94410 Orizaba, Ver., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,10N4,HILUX 013 JOSE,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,868574041347126,5901000761136,868574041347126,,Active,Idle - Stop,7/9/2026 2:32:40 PM,8/19/2026 10:34:21 AM,8/19/2026 10:34:27 AM,"Sucre 103i, Sector San Jorge, 65776 Valle de Santa Elena, N.L., Mexico"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,13B2,EXO-43 ,Queclink GV55W,MOVISTAR MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,868574041882460,5901020278058,868574041882460,,Active,Ping,7/15/2026 10:00:29 AM,7/30/2026 7:41:42 AM,7/30/2026 7:42:09 AM,"MEX-40, Nuevo León"
UTS Sistemas Kalo MX,**CANCELADO VENTAS, ,UTS,,"Panic Button, ",Professional,Client,515N,HILUX 012 BRAYAN,GenX 656BV,TELCEL MX,29.99,,Monthly,6/3/2026 12:00:00 AM,7/2/2026 12:00:00 AM,000003950696,8116605983,359394052417072,,Active,Parked,7/9/2026 2:32:47 PM,8/19/2026 10:02:08 AM,8/19/2026 10:02:16 AM,"Industria Electronica 302, Parque Industrial Escobedo, 66062 Cd Gral Escobedo, N.L., Mexico"
UTS Sistemas Kalo MX,**Inventory, ,,,"Panic Button, ",N/A,Client,C271,C271,Queclink GL 500,,0.01,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,,,,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,3/16/2025 8:17:16 AM,
UTS Sistemas Kalo MX,**Inventory, ,,,"Panic Button, ",N/A,Client,C272,C272,Queclink GL 500,,0.01,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,,,,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,3/16/2025 8:17:16 AM,
UTS Sistemas Kalo MX,**Inventory, ,,,"Panic Button, ",N/A,Client,C273,C273,Queclink GL 500,,0.01,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,,,,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,3/16/2025 8:17:16 AM,
UTS Sistemas Kalo MX,**Inventory, ,,,"Panic Button, ",N/A,Client,C274,C274,Queclink GL 500,,0.01,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,,,,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,3/16/2025 8:17:16 AM,
UTS Sistemas Kalo MX,**Inventory, ,,,"Panic Button, ",N/A,Client,C275,C275,Queclink GL 500,,0.01,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,,,,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,3/16/2025 8:17:16 AM,
TSO Colombia - IBO IDCOM,A&J EQUIPOS SAS, ,900949499,NIT,"Panic Button, ",PLAN MAQUINARIA PESADA,Renting,1F59,SYK11007ET5C02225,Topfly PioneerX,Claro CO,49917.00,,Annually,7/13/2026 12:00:00 AM,6/25/2027 12:00:00 AM,Pioneerx100-1F59,9103264632,869487064398190,,Active,Ignition OFF,7/13/2026 1:18:08 PM,8/18/2026 12:35:41 PM,8/18/2026 12:35:55 PM,"Av 40-43, Buenaventura, Valle Cauca, Colombia"
TSO Mobile Peru,AHORRO DE ENERGIA Y MANTENIMIENTO INDUSTRIAL S.A.C., ,20111025739,20111025739,"Panic Button, ",PLAN PROFESIONAL - VIDFLEET,Renting,1CH9,BHA-886 AIR2,VidFleet AIR2,CLARO-PE,0.00,,Monthly,7/27/2026 12:00:00 AM,8/25/2026 12:00:00 AM,8B5141SK,993930224,8B5141SK,,Active,Ignition OFF,7/27/2026 6:28:35 AM,7/27/2026 11:21:12 AM,7/27/2026 11:24:57 AM,"Calle General Francisco Vidal Laos 190A, Huacho 15136, Peru"
TSO Mobile - Colombia,ANYI NATALIA MARTINEZ SANCHEZ, ,1076623687,,"Panic Button, ",PLAN SEGURIDAD,Renting,1EMJ,JKV653,Topfly PioneerX,Claro CO,29.99,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,Pioneerx100-1EMJ,9103920274,869487064365231,,Active,Parked,7/22/2026 5:07:30 AM,8/19/2026 9:57:02 AM,8/19/2026 9:57:10 AM,"Tenjo-Tabio #1 Sur1, Tabio, Cundinamarca, Colombia"
TSO Mobile - Colombia,ARQUITECTURA Y CONCRETO SAS,VIP,800093117,,"Panic Button, ",PLAN MAQUINARIA PESADA,Renting,1IJW,XCMG XE215GA,Topfly PioneerX,Claro CO,41583.00,,Monthly,12/10/2024 12:00:00 AM,12/9/2025 12:00:00 AM,PioneerX100-1IJW,9103841352,869487067421700,ARQUITECTURA Y CONCRETO SAS,Active,Idle - Stop,7/22/2026 5:52:37 AM,8/19/2026 10:35:37 AM,8/19/2026 10:35:49 AM,"Cl15b 26-49, El Retiro, Antioquia, Colombia"
TSO Mobile - Colombia,ARQUITECTURA Y CONCRETO SAS,VIP,800093117,,"Panic Button, ",PLAN MAQUINARIA PESADA,Renting,1IJX,XCMG XE135GA,Topfly PioneerX,Claro CO,41583.00,,Monthly,12/10/2024 12:00:00 AM,12/9/2025 12:00:00 AM,PioneerX100-1IJX,9103841353,869487067338839,ARQUITECTURA Y CONCRETO SAS,Active,Idle - Stop,7/22/2026 5:53:39 AM,8/19/2026 10:35:06 AM,8/19/2026 10:35:07 AM,"VWRP+PM Chía, Cundinamarca, Colombia"
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IDR,KnightPM-1IDR,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IDR,9103265630,869487062878227,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IDT,KnightPM-1IDT,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IDT,9103265415,869487062995153,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IDV,KnightPM-1IDV,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IDV,9103265447,869487062800270,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IDW,KnightPM-1IDW,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IDW,9103265552,869487062876338,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IE7,KnightPM-1IE7,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IE7,9103265631,869487062909303,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IE9,KnightPM-1IE9,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IE9,9103265423,869487062909337,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IEC,KnightPM-1IEC,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IEC,9103265559,869487062968820,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IEN,KnightPM-1IEN,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IEN,9103265633,869487062903140,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IEP,KnightPM-1IEP,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IEP,9103265435,869487063003874,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IER,KnightPM-1IER,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IER,9103265449,869487063001282,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IES,KnightPM-1IES,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IES,9103265578,869487062947881,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IF3,KnightPM-1IF3,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IF3,9103265689,869487062992903,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
TSO Mobile - Colombia,ASOCIACION DE RECICLADORES CENTRO DE BOGOTA, ,901165893,,"Panic Button, ",PLAN PROFESIONAL,Renting,1IF5,KnightPM-1IF5,PM - KnightX,Claro CO,0.00,,Monthly,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,KnightPM-1IF5,9103265436,869487062749550,,Active,,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,1/1/1900 12:00:00 AM,
