UnitID,SerialNumber,IMEI,SimNo,Carrier,AreaCode,PhoneNumber,StaticIP,ModemName,Paired
1IC5,869487064592578,869487064592578,895110113112917451,CLARO-PE,,952441135,LTE,,FALSE
1ICL,869487064429631,869487064429631,895110113112917453,CLARO-PE,,952447918,LTE,,FALSE
1ID1,869487064335895,869487064335895,895110113112917452,CLARO-PE,,952447906,LTE,,FALSE
1IDH,869487063245517,869487063245517,895110113112917454,CLARO-PE,,952449349,LTE,,FALSE
1I8O,869487063301252,869487063301252,895110113112917458,CLARO-PE,,952486309,LTE,,FALSE
1I94,869487064398026,869487064398026,895110113112917445,CLARO-PE,,952432858,LTE,,FALSE
1I9K,869487064338956,869487064338956,895110113112917444,CLARO-PE,,952431660,LTE,,FALSE
1IA0,869487064341141,869487064341141,895110113112917443,CLARO-PE,,952405990,LTE,,FALSE
1IAG,869487064457046,869487064457046,895110113112917442,CLARO-PE,,952405982,LTE,,FALSE
1IAW,869487064430522,869487064430522,895110113112917441,CLARO-PE,,952403223,LTE,,FALSE
1IBI,869487063245772,869487063245772,895110113112917450,CLARO-PE,,952438459,LTE,,FALSE
1IBY,869487064338790,869487064338790,895110113112917449,CLARO-PE,,952438456,LTE,,FALSE
1ICE,869487064499527,869487064499527,895110113112917448,CLARO-PE,,952438455,LTE,,FALSE
1ICU,869487064502783,869487064502783,895110113112917461,CLARO-PE,,952497100,LTE,,FALSE
1IDA,869487064502841,869487064502841,895110113112917447,CLARO-PE,,952438417,LTE,,FALSE
1I8X,869487064338824,869487064338824,895110113112917455,CLARO-PE,,952482194,LTE,,FALSE
1I9D,869487064430407,869487064430407,895110113112917467,CLARO-PE,,965178371,LTE,,FALSE
1I9T,869487063256621,869487063256621,895110113112917466,CLARO-PE,,952473295,LTE,,FALSE
1IA9,869487064592628,869487064592628,895110113112917464,CLARO-PE,,952483674,LTE,,FALSE
1IAP,869487063301229,869487063301229,895110113112917462,CLARO-PE,,952498403,LTE,,FALSE
1IB5,869487064569618,869487064569618,895110113112917410,CLARO-PE,,955745824,LTE,,FALSE
1IBN,869487063255052,869487063255052,895110113112917465,CLARO-PE,,952418543,LTE,,FALSE
1IC3,869487064620072,869487064620072,895110113112917463,CLARO-PE,,952412402,LTE,,FALSE
1ICJ,869487064621344,869487064621344,895110113112917409,CLARO-PE,,965398304,LTE,,FALSE
1ICZ,869487064592743,869487064592743,895110113112917456,CLARO-PE,,952483521,LTE,,FALSE
1IDF,869487064374639,869487064374639,895110113112917460,CLARO-PE,,952490117,LTE,,FALSE
1I8M,869487064341281,869487064341281,895110113112917459,CLARO-PE,,952458921,LTE,,FALSE
1I92,869487063278070,869487063278070,895110113112917417,CLARO-PE,,962222590,LTE,,FALSE
1I9I,869487064341356,869487064341356,895110113112917416,CLARO-PE,,955745289,LTE,,FALSE
1I9Y,869487064430662,869487064430662,895110113112917415,CLARO-PE,,954793588,LTE,,FALSE
1IAE,869487064341125,869487064341125,895110113112917414,CLARO-PE,,957798826,LTE,,FALSE
1IAU,869487064592545,869487064592545,895110113112917413,CLARO-PE,,953790717,LTE,,FALSE
1IBM,869487064430423,869487064430423,895110113112917412,CLARO-PE,,955732269,LTE,,FALSE
1IC2,869487064443301,869487064443301,895110113112917411,CLARO-PE,,953792208,LTE,,FALSE
1ICI,869487064492647,869487064492647,895110113112917507,CLARO-PE,,952446693,LTE,,FALSE
1ICY,869487063289952,869487063289952,895110113112917506,CLARO-PE,,952444035,LTE,,FALSE
1IDE,869487064416380,869487064416380,895110113112917505,CLARO-PE,,952444027,LTE,,FALSE
1I8L,869487064592685,869487064592685,895110113112917504,CLARO-PE,,952442636,LTE,,FALSE
1I91,869487064621542,869487064621542,895110113112917503,CLARO-PE,,952438655,LTE,,FALSE
1I9H,869487064491615,869487064491615,895110113112917502,CLARO-PE,,952437247,LTE,,FALSE
1I9X,869487064373706,869487064373706,895110113112917501,CLARO-PE,,952435777,LTE,,FALSE
1IAD,869487063273030,869487063273030,895110113112917500,CLARO-PE,,952434377,LTE,,FALSE
1IAT,869487064467193,869487064467193,895110113112917499,CLARO-PE,,952431789,LTE,,FALSE
1IB9,869487064592651,869487064592651,895110113112917498,CLARO-PE,,952407613,LTE,,FALSE
1IBG,869487064502643,869487064502643,895110113112917497,CLARO-PE,,965178752,LTE,,FALSE
1IBW,869487063283054,869487063283054,895110113112917496,CLARO-PE,,961490902,LTE,,FALSE
1ICC,869487064338741,869487064338741,895110113112917495,CLARO-PE,,952418602,LTE,,FALSE
1ICS,869487064338733,869487064338733,895110113112917494,CLARO-PE,,952414359,LTE,,FALSE
1ID8,869487064486383,869487064486383,895110113112917493,CLARO-PE,,952413022,LTE,,FALSE
1IDO,869487064592784,869487064592784,895110113112917492,CLARO-PE,,952411913,LTE,,FALSE
1I8V,869487064591208,869487064591208,895110113112917491,CLARO-PE,,952497208,LTE,,FALSE
1I9B,869487064466187,869487064466187,895110113112917490,CLARO-PE,,952497203,LTE,,FALSE
1I9R,869487064492613,869487064492613,895110113112917489,CLARO-PE,,952494445,LTE,,FALSE
1IA7,869487064491854,869487064491854,895110113112917488,CLARO-PE,,952494414,LTE,,FALSE
1IAN,869487064352908,869487064352908,895110113112917487,CLARO-PE,,952491602,LTE,,FALSE
1IB3,869487064375222,869487064375222,895110113112917486,CLARO-PE,,952490198,LTE,,FALSE
1IBH,869487064568693,869487064568693,895110113112917485,CLARO-PE,,952486472,LTE,,FALSE
1IBX,869487064502718,869487064502718,895110113112917484,CLARO-PE,,952486464,LTE,,FALSE
1ICD,869487064510059,869487064510059,895110113112917483,CLARO-PE,,952486462,LTE,,FALSE
1ICT,869487064443392,869487064443392,895110113112917514,CLARO-PE,,987948247,LTE,,FALSE
1ID9,869487064341091,869487064341091,895110113112917515,CLARO-PE,,987948259,LTE,,FALSE
1I8W,869487064592602,869487064592602,895110113112917516,CLARO-PE,,987920035,LTE,,FALSE
1I9C,869487063249873,869487063249873,895110113112917517,CLARO-PE,,987928950,LTE,,FALSE
1I9S,869487063241003,869487063241003,895110113112917518,CLARO-PE,,974802179,LTE,,FALSE
1IA8,869487064430795,869487064430795,895110113112917519,CLARO-PE,,987940678,LTE,,FALSE
1IAO,869487064338832,869487064338832,895110113112917520,CLARO-PE,,987940679,LTE,,FALSE
1IB4,869487064592644,869487064592644,895110113112917521,CLARO-PE,,987981412,LTE,,FALSE
